gem	sole_impact	reach_impact	failure_type	achievability	transitive_loadbearing
jsender	3	7	other	compiler	0
phone	3	3	analyze-failed	compiler	0
values	3	3	analyze-failed	compiler	0
crimp	3	4	analyze-failed	compiler	0
zookeeper	3	29	c-extension	native	0
mixlib-log	3	12	no-entrypoint	compiler	0
io-console	3	282	no-entrypoint	compiler	0
jsonapi-serializable	3	3	no-entrypoint	compiler	0
tty-spinner	3	4	analyze-failed	compiler	0
bluecloth	3	4	c-extension	native	0
soap4r-ruby1.9	3	4	no-entrypoint	compiler	0
ast	3	131	other	compiler	1389
mash	3	3	analyze-failed	compiler	0
gitlab-grit	3	3	analyze-failed	compiler	0
escort	3	10	analyze-failed	compiler	0
timeliness	3	4	analyze-failed	compiler	0
ruby-odbc	3	6	c-extension	native	0
stemmer	3	4	other	compiler	0
nio4r	3	18	c-extension	native	5716
sshkey	3	5	analyze-failed	compiler	0
unix-whereis	3	3	no-entrypoint	compiler	0
ltsv	3	3	other	compiler	0
ruby-units	3	5	analyze-failed	compiler	0
spree_extension	3	4	analyze-failed	compiler	0
fixwhich	3	3	analyze-failed	compiler	0
rollbar	3	4	hard-feature	metaprog	0
async	3	12	analyze-failed	compiler	0
bio-logger	3	4	analyze-failed	compiler	0
ancestry	3	3	analyze-failed	compiler	0
benchmark-ips	3	4	no-entrypoint	compiler	0
raindrops	3	10	c-extension	native	0
open-uri	3	5	analyze-failed	compiler	0
discordrb	3	5	analyze-failed	compiler	0
browser	3	4	analyze-failed	compiler	0
ruby_protobuf	3	3	no-entrypoint	compiler	0
executable-hooks	3	3	analyze-failed	compiler	0
nagiosplugin	3	3	other	compiler	0
train	3	5	no-entrypoint	compiler	0
cassandra-driver	3	4	c-extension	native	0
levenshtein	3	5	c-extension	native	0
fastlane	3	5	no-entrypoint	compiler	0
yard-appendix	2	2	analyze-failed	compiler	0
i18n-active_record	2	2	no-entrypoint	compiler	0
jeremymcanally-context	2	2	analyze-failed	compiler	0
orderedhash	2	2	analyze-failed	compiler	0
god	2	4	c-extension	native	0
syslogger	2	5	analyze-failed	compiler	0
antlr3	2	5	analyze-failed	compiler	0
configuration	2	2	analyze-failed	compiler	0
jsonapi-resources	2	2	analyze-failed	compiler	0
selenium-client	2	3	analyze-failed	compiler	0
string-similarity	2	2	other	compiler	0
aws-sigv4	2	7	analyze-failed	compiler	0
forgery	2	2	analyze-failed	compiler	0
zendesk_api	2	4	analyze-failed	compiler	0
fcoury-octopi	2	2	analyze-failed	compiler	0
tk	2	3	c-extension	native	0
rocketio	2	3	analyze-failed	compiler	0
kdtree	2	2	c-extension	native	0
rgeo	2	6	c-extension	native	0
geometry	2	2	analyze-failed	compiler	0
ZenTest	2	5	analyze-failed	compiler	0
hoe	2	3	analyze-failed	compiler	0
digest	2	5	c-extension	native	5506
ffi-aspell	2	3	no-entrypoint	compiler	0
tmail	2	6	c-extension	native	0
scalpel	2	2	other	compiler	0
errbit_plugin	2	2	other	compiler	0
arrayfields	2	12	analyze-failed	compiler	0
prime	2	13	analyze-failed	compiler	0
settingslogic	2	8	analyze-failed	compiler	0
ruby-opencv	2	2	c-extension	native	0
async-http	2	7	no-entrypoint	compiler	0
nokolexbor	2	2	c-extension	native	0
id3lib-ruby	2	3	analyze-failed	compiler	0
soap4r-ng	2	3	no-entrypoint	compiler	0
simple_cache_rs	2	2	analyze-failed	compiler	0
taf2-curb	2	2	c-extension	native	0
swe4r	2	2	c-extension	native	0
depq	2	2	analyze-failed	compiler	0
snappy	2	3	c-extension	native	0
much-stub	2	3	analyze-failed	compiler	0
distance_measures	2	2	c-extension	native	0
tty-config	2	3	analyze-failed	compiler	0
asciidoctor-diagram	2	3	analyze-timeout	compiler	0
jets-bundler	2	2	no-entrypoint	compiler	0
google-cloud-storage	2	5	analyze-failed	compiler	0
handlebars-source	2	2	no-entrypoint	compiler	0
rethinkdb	2	2	analyze-failed	compiler	0
configurations	2	4	analyze-failed	compiler	0
immutable-struct	2	2	analyze-failed	compiler	0
ruby2d	2	3	c-extension	native	0
bblib	2	2	analyze-failed	compiler	0
rley	2	2	analyze-failed	compiler	0
statistics2	2	2	c-extension	native	0
shellany	2	2	other	compiler	0
speedytime	2	2	no-entrypoint	compiler	0
hashdiff	2	6	other	compiler	0
multibases	2	2	analyze-failed	compiler	0
openfact	2	2	analyze-failed	compiler	0
rserve-client	2	3	analyze-failed	compiler	0
fabrication	2	2	analyze-failed	compiler	0
rack-oauth2	2	2	no-entrypoint	compiler	0
yui-compressor	2	6	no-entrypoint	compiler	0
baza	2	2	analyze-failed	compiler	0
hikidoc	2	3	analyze-failed	compiler	0
rchardet	2	3	other	compiler	1438
dbi	2	4	analyze-failed	compiler	0
rodauth	2	2	analyze-failed	compiler	0
extlib	2	86	analyze-failed	compiler	0
github-markdown	2	2	no-entrypoint	compiler	0
cmdparser	2	2	analyze-failed	compiler	0
session	2	2	analyze-failed	compiler	0
uri-ssh_git	2	2	no-entrypoint	compiler	0
map	2	17	analyze-failed	compiler	0
securerandom	2	3	analyze-failed	compiler	25221
chef-api	2	2	analyze-failed	compiler	0
batch-loader	2	2	analyze-failed	compiler	0
rackup	2	7	analyze-failed	compiler	7823
gem-release	2	2	analyze-failed	compiler	0
ruby-stemmer	2	7	no-entrypoint	compiler	0
bin_utils	2	2	c-extension	native	0
net-http-digest_auth	2	3	no-entrypoint	compiler	0
fattr	2	20	analyze-failed	compiler	0
charlock_holmes	2	3	c-extension	native	0
airbrake-ruby	2	3	analyze-failed	compiler	0
rbtree	2	10	no-entrypoint	compiler	0
iconv	2	8	c-extension	native	0
mkfifo	2	3	no-entrypoint	compiler	0
openssl-ccm	2	4	no-entrypoint	compiler	0
arbre	2	2	analyze-failed	compiler	0
keccak	2	2	no-entrypoint	compiler	0
erubi	2	15	analyze-failed	compiler	8540
filewatch	2	3	no-entrypoint	compiler	0
raabro	2	16	analyze-failed	compiler	0
fast_xs	2	2	c-extension	native	0
rbczmq	2	3	c-extension	native	0
toolrack	2	2	analyze-failed	compiler	0
carray	2	6	c-extension	native	0
power_assert	2	12	hard-feature	metaprog	0
sysrandom	2	2	c-extension	native	0
lz4-ruby	2	2	c-extension	native	0
pcaprub	2	2	c-extension	native	0
memcache-client	2	5	analyze-failed	compiler	0
source_finder	2	2	other	compiler	0
simple-rss	2	6	analyze-failed	compiler	0
xxhash	2	5	c-extension	native	0
PriorityQueue	2	2	c-extension	native	0
girl_friday	2	2	analyze-failed	compiler	0
github-linguist	2	4	c-extension	native	0
syck	2	3	c-extension	native	0
smart_properties	2	2	analyze-failed	compiler	0
otherinbox-crypt19	2	2	no-entrypoint	compiler	0
edn	2	2	analyze-failed	compiler	0
ruby-serialport	2	2	c-extension	native	0
enumerable-statistics	2	2	c-extension	native	0
cdt-utilities	2	2	no-entrypoint	compiler	0
boson	2	3	analyze-failed	compiler	0
